Timestamp,Username,Physics,Additional subject (chemistry/maths),Exercise,Wake up,Screen control
12/19/2025 15:39:00,Kritarth,Not done,Not done,Done,Not done,Done
12/07/2025 08:35:00,Kritarth,Done,Done,Not done,Not done,Not done
12/10/2025 15:46:00,Kritarth,Not done,Done,Done,Not done,Not done
12/09/2025 15:07:00,Kritarth,Done,Not done,Done,Not done,Not done
12/17/2025 12:52:00,Kritarth,Not done,Not done,Not done,Done,Done
12/14/2025 19:35:00,Kritarth,Done,Done,Done,Done,Done
12/17/2025 17:32:00,Kritarth,Not done,Done,Not done,Not done,Done
12/02/2025 09:37:00,Kritarth,Done,Not done,Not done,Done,Not done
12/03/2025 22:56:00,Kritarth,Not done,Not done,Not done,Done,Done
12/16/2025 10:57:00,Kritarth,Done,Done,Not done,Done,Done
12/16/2025 16:08:00,Kritarth,Not done,Not done,Done,Done,Done
12/01/2025 21:15:00,Kritarth,Not done,Not done,Done,Done,Done
12/13/2025 17:20:00,Kritarth,Not done,Not done,Done,Not done,Not done
12/25/2025 10:06:00,Kritarth,Done,Done,Done,Done,Not done
12/08/2025 10:13:00,Kritarth,Done,Not done,Done,Not done,Not done
12/21/2025 14:32:00,Kritarth,Not done,Not done,Done,Done,Done
12/14/2025 13:04:00,Kritarth,Not done,Done,Done,Not done,Not done
12/17/2025 11:09:00,Kritarth,Done,Not done,Not done,Not done,Not done
12/20/2025 17:48:00,Kritarth,Not done,Done,Done,Not done,Done
12/14/2025 08:05:00,Kritarth,Not done,Not done,Done,Not done,Not done
12/18/2025 19:04:00,Kritarth,Not done,Done,Done,Done,Done
12/03/2025 13:44:00,Kritarth,Not done,Done,Not done,Not done,Done
12/17/2025 08:13:00,Kritarth,Done,Done,Not done,Done,Done
12/10/2025 15:24:00,Kritarth,Done,Done,Done,Not done,Done
12/05/2025 19:16:00,Kritarth,Not done,Done,Not done,Done,Not done
12/26/2025 13:50:00,exe,Not done,Done,Done,Done,Not done
12/18/2025 08:31:00,exe,Not done,Not done,Not done,Done,Not done
12/13/2025 16:38:00,exe,Done,Not done,Done,Done,Not done
12/03/2025 14:56:00,exe,Done,Done,Done,Not done,Not done
12/18/2025 17:49:00,exe,Not done,Done,Done,Not done,Not done
12/04/2025 21:42:00,exe,Done,Not done,Done,Not done,Done
12/17/2025 20:11:00,exe,Done,Not done,Done,Done,Not done
12/25/2025 08:36:00,exe,Not done,Done,Not done,Not done,Not done
12/21/2025 15:26:00,exe,Done,Not done,Not done,Done,Not done
12/18/2025 13:48:00,exe,Done,Not done,Done,Done,Not done
12/15/2025 11:53:00,exe,Done,Done,Not done,Done,Not done
12/19/2025 19:49:00,exe,Done,Not done,Not done,Not done,Done
12/01/2025 10:27:00,exe,Not done,Not done,Done,Not done,Done
12/26/2025 08:41:00,exe,Done,Not done,Done,Done,Not done
12/08/2025 18:39:00,exe,Not done,Done,Not done,Done,Done
12/15/2025 14:23:00,exe,Not done,Done,Done,Done,Not done
12/11/2025 19:59:00,exe,Not done,Done,Done,Done,Done
12/07/2025 12:21:00,exe,Not done,Not done,Done,Done,Done
12/05/2025 21:24:00,exe,Done,Not done,Done,Done,Not done
12/12/2025 12:06:00,exe,Done,Done,Not done,Not done,Done
12/10/2025 11:35:00,exe,Done,Done,Not done,Done,Done
12/11/2025 13:58:00,exe,Not done,Done,Done,Done,Done
12/05/2025 10:35:00,exe,Done,Not done,Not done,Done,Not done
12/02/2025 17:30:00,exe,Not done,Done,Done,Not done,Done
12/17/2025 16:39:00,exe,Not done,Done,Done,Done,Not done
12/23/2025 12:45:00,exe,Not done,Not done,Not done,Done,Done
12/01/2025 13:57:00,exe,Done,Not done,Not done,Not done,Not done
12/16/2025 08:14:00,exe,Done,Not done,Not done,Done,Not done
12/03/2025 15:44:00,DharmXveer,Done,Not done,Not done,Done,Done
12/21/2025 16:31:00,DharmXveer,Done,Not done,Not done,Done,Done
12/03/2025 15:09:00,DharmXveer,Done,Done,Done,Not done,Done
12/02/2025 10:05:00,DharmXveer,Not done,Not done,Not done,Not done,Done
12/09/2025 09:03:00,DharmXveer,Not done,Not done,Done,Not done,Not done
12/08/2025 22:10:00,DharmXveer,Done,Not done,Done,Not done,Done
12/21/2025 18:07:00,DharmXveer,Not done,Not done,Done,Done,Not done
12/02/2025 10:54:00,DharmXveer,Done,Not done,Done,Done,Not done
12/13/2025 11:30:00,DharmXveer,Done,Not done,Not done,Not done,Done
12/27/2025 09:50:00,DharmXveer,Done,Not done,Done,Not done,Done
12/16/2025 09:11:00,DharmXveer,Done,Not done,Not done,Not done,Done
12/25/2025 09:17:00,DharmXveer,Not done,Not done,Done,Not done,Done
12/23/2025 15:09:00,DharmXveer,Not done,Done,Not done,Done,Done
12/11/2025 19:20:00,DharmXveer,Done,Not done,Done,Done,Done
12/16/2025 17:46:00,DharmXveer,Done,Done,Done,Not done,Not done
12/24/2025 10:28:00,DharmXveer,Not done,Not done,Not done,Not done,Done
12/06/2025 08:48:00,DharmXveer,Done,Done,Done,Done,Done
12/02/2025 22:16:00,DharmXveer,Done,Done,Done,Not done,Done
12/29/2025 18:01:00,DharmXveer,Done,Done,Done,Done,Not done
12/05/2025 17:48:00,DharmXveer,Not done,Not done,Not done,Done,Not done
12/07/2025 14:44:00,DharmXveer,Not done,Not done,Done,Done,Done
12/22/2025 20:41:00,DharmXveer,Not done,Not done,Not done,Not done,Not done
12/09/2025 09:43:00,DharmXveer,Done,Not done,Done,Done,Done
12/24/2025 22:04:00,DharmXveer,Not done,Done,Done,Not done,Not done
12/15/2025 12:44:00,DharmXveer,Done,Done,Done,Not done,Done
12/05/2025 18:17:00,DharmXveer,Not done,Done,Not done,Not done,Done
12/09/2025 22:52:00,DharmXveer,Done,Not done,Not done,Done,Not done
12/11/2025 13:59:00,DharmXveer,Done,Not done,Not done,Done,Not done
12/20/2025 08:55:00,DharmXveer,Not done,Not done,Not done,Not done,Not done
